2024-02-12 15:30:18,478: root: INFO: MLTrader : Executing the initialize lifecycle method
2024-02-12 15:30:19,042: root: INFO: Current backtesting datetime 2023-12-15 08:30:00-05:00
2024-02-12 15:30:19,043: root: INFO: MLTrader : Executing the before_market_opens lifecycle method
2024-02-12 15:30:19,044: root: INFO: Current backtesting datetime 2023-12-15 09:30:00-05:00
2024-02-12 15:30:19,044: root: INFO: MLTrader : Executing the before_starting_trading lifecycle method
2024-02-12 15:30:19,044: root: INFO: [34mMLTrader : Executing the on_trading_iteration lifecycle method at 2024-02-12 15:30:19[0m
2024-02-12 15:30:19,045: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-12 15:30:19,049: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-12 15:30:19,566: root: INFO: [32mNew market order of | 106.0 SPY buy | at price $563.3879882812499 of class bracket with status unprocessed was submitted.[0m
2024-02-12 15:30:19,574: root: INFO: [34mMLTrader : Trading iteration ended at 2024-02-12 15:30:19[0m
2024-02-12 15:30:19,574: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-02-12 15:30:19,574: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-12 15:30:19,575: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-12 15:30:19,576: root: INFO: market order of | 106.0 SPY buy | at price $563.3879882812499 of class bracket with status new was sent to broker backtesting
2024-02-12 15:30:19,576: root: INFO: market order of | 106.0 SPY buy | at price $563.3879882812499 of class bracket with status new was sent to broker backtesting
2024-02-12 15:30:19,576: root: INFO: [32mFilled Transaction: buy 106.0 of SPY at 469.48999023 USD per share[0m
2024-02-12 15:30:19,576: root: INFO: market order of | 106.0 SPY buy | at price $563.3879882812499 of class bracket with status new was filled
2024-02-12 15:30:19,582: root: INFO: MLTrader : [34mSleeping for 86400 seconds[0m
2024-02-12 15:30:19,583: root: INFO: Current backtesting datetime 2023-12-15 16:00:00-05:00
2024-02-12 15:30:19,583: root: INFO: Current backtesting datetime 2023-12-16 09:30:00-05:00
2024-02-12 15:30:19,585: root: INFO: [34mMLTrader : The market is not currently open, skipping this trading iteration[0m
2024-02-12 15:30:19,585: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-02-12 15:30:19,585: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-12 15:30:19,586: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-12 15:30:19,586: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-02-12 15:30:19,586: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-12 15:30:19,587: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-12 15:30:19,587: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-02-12 15:30:19,587: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-12 15:30:19,588: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-12 15:30:19,588: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-02-12 15:30:19,588: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-12 15:30:19,589: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-12 15:30:19,589: root: INFO: Current backtesting datetime 2023-12-16 09:29:00-05:00
2024-02-12 15:30:19,590: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-02-12 15:30:19,590: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-12 15:30:19,590: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-12 15:30:19,591: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-02-12 15:30:19,591: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-12 15:30:19,591: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-12 15:30:19,592: root: INFO: Current backtesting datetime 2023-12-16 09:29:00-05:00
2024-02-12 15:30:19,592: root: INFO: MLTrader : Executing the after_market_closes lifecycle method
2024-02-12 15:30:19,592: root: INFO: Getting historical prices for SPY, 1 bars, 
